1765	0
1766	0.12602655
1767	0.27303147
1768	0.27887064
1769	0.24204524
1770	0.24282439
1771	0.28414227
1772	0.29985709
1773	0.29075585
1774	0.27809954
1775	0.26883905
1776	0.27685606
1777	0.30576066
1778	0.33787519
1779	0.34758091
1780	0.34167396
1781	0.33372182
1782	0.29101994
1783	0.17560532
1784	0.090269194
1785	0.16245306
1786	0.28956182
1787	0.35299901
1788	0.36176885
1789	0.25105384
1790	0.088882243
1791	0.10802003
1792	0.23279865
1793	0.29457518
1794	0.29173845
1795	0.25684617
1796	0.24505257
1797	0.26205657
1798	0.27746741
1799	0.2856347
1800	0.30345983
1801	0.3258144
1802	0.32293762
1803	0.3082946
1804	0.30625174
1805	0.30554894
1806	0.29656247
1807	0.28733627
1808	-0.20660893
1809	-1.3501184
1810	-1.7519646
1811	-0.95612856
1812	-0.27918259
1813	-0.077907142
1814	-0.59896164
1815	-2.0619414
1816	-2.5631788
1817	-1.3942302
1818	-0.26564772
1819	0.18534697
1820	0.31186677
1821	0.31898449
1822	0.32152238
1823	0.32554213
1824	0.33373696
1825	0.34767769
1826	0.36602933
1827	0.38537657
1828	0.39560049
1829	0.36951757
1830	0.15158463
1831	-0.24271242
1832	-0.35068953
1833	-0.061975791
1834	-0.21529972
1835	-0.81911312
1836	-0.73506426
1837	-0.12480708
1838	0.24917938
1839	0.36350119
1840	0.3435049
1841	0.31934023
1842	0.31997325
1843	0.29345202
1844	0.28857789
1845	0.33883415
1846	0.39159098
1847	0.42985878
1848	0.45891745
1849	0.44499804
1850	0.40539615
1851	0.39862512
1852	0.40052091
1853	0.3934753
1854	0.38414144
1855	0.24282623
1856	-0.21107251
1857	-0.44449029
1858	-0.096836341
1859	0.26210904
1860	0.39070948
1861	0.35779049
1862	0.2581144
1863	0.26390439
1864	0.33623394
1865	0.37076405
1866	0.3750448
1867	0.37953974
1868	0.40476502
1869	0.44070511
1870	0.4698686
1871	0.46881912
1872	0.42277264
1873	0.36978899
1874	0.35373474
1875	0.332461
1876	0.28830947
1877	0.29298153
1878	0.33420941
1879	0.368246
1880	0.39995496
1881	0.42920523
1882	0.33982025
1883	-0.56353326
1884	-1.3017754
1885	-0.71893884
1886	-0.23580858
1887	-0.11721518
1888	-0.016598936
1889	-0.08450957
1890	-0.12348587
1891	-0.02816829
1892	0.17145477
1893	0.34036723
1894	0.45854671
1895	0.43496617
1896	0.26290903
1897	0.16316606
1898	0.25869933
1899	0.36799034
1900	0.41475781
1901	0.39849017
1902	-0.041670226
1903	-0.40336913
1904	-0.081701345
1905	0.28507922
1906	0.389716
1907	0.36949981
1908	0.38664275
1909	0.45257997
1910	0.47406745
1911	0.47502449
1912	0.23787245
1913	0.1428922
1914	0.38792615
1915	0.54484665
1916	0.61946613
1917	0.65507998
1918	0.66254981
1919	0.64062566
1920	0.53860773
1921	0.51390834
1922	0.59917404
1923	0.6188415
1924	0.62160553
1925	0.65690052
1926	0.70124531
1927	0.72125112
1928	0.67462867
1929	0.62401289
1930	0.65251894
1931	0.6785285
1932	0.64515032
1933	0.65684612
1934	0.71706368
1935	0.77329698
1936	0.83155121
1937	0.84505011
1938	0.833606
1939	0.83751216
1940	0.84838382
1941	0.84065291
1942	0.79637885
1943	0.77291049
1944	0.8014979
1945	0.84012487
1946	0.87434778
1947	0.88946972
1948	0.89886532
1949	0.87852081
1950	0.84163896
1951	0.80135099
1952	0.76630996
1953	0.74610376
1954	0.75480507
1955	0.81537626
1956	0.89909856
1957	0.96679968
1958	0.98244834
1959	0.96883259
1960	0.88020351
1961	0.75156663
1962	0.64515114
1963	0.1620533
1964	-0.18567194
1965	0.16267508
1966	0.59334428
1967	0.76875547
1968	0.60919867
1969	0.57531732
1970	0.84740204
1971	1.0370201
1972	1.0974394
1973	1.0624488
1974	0.91537051
1975	0.82176973
1976	0.97769425
1977	1.1988289
1978	1.2758337
1979	1.3561905
1980	1.466064
1981	1.4077614
1982	0.71477621
1983	0.40876639
1984	0.95187721
1985	1.2513234
1986	1.3423653
1987	1.4352832
1988	1.5760874
1989	1.7006148
1990	1.7456356
1991	0.80674072
1992	0.18316716
1993	0.8971375
1994	1.436801
1995	1.6412118
1996	1.7378777
1997	1.8156668
1998	1.9242133
1999	2.0332219
2000	2.0961904
2001	2.1279809
2002	2.1453595
2003	2.1378986
2004	2.1258179
2005	2.0837516
2006	1.9905206
2007	1.9519499
2008	1.9858937
2009	2.0752886
2010	2.1917034
2011	2.2685169
2012	2.3200181
2013	2.3460167
2014	2.3443654
2015	2.3427366
